Order_ID,Customer_ID,Fecha_de_compra,Categoría_producto,Producto,Precio_unitario,Cantidad,Total_venta,Método_de_pago,Ubicación_cliente,Dispositivo_de_compra,Fuente_de_tráfico,Tiempo_de_navegación,Descuento_aplicado,Satisfacción_cliente
17,2075,2024-03-01 04:01:00,Ropa,Camisa,226.5,4,906.0,Criptomoneda,"Ciudad 1, País 3",Tablet,Pago,4,Sí,5
18,5424,2024-01-23 12:29:00,Belleza,Crema,162.04,2,324.08,Transferencia bancaria,"Ciudad 4, País 10",Móvil,Pago,29,Sí,5
19,6085,2024-01-30 11:26:00,Ropa,Zapatos,432.96,2,865.92,Criptomoneda,"Ciudad 7, País 7",Móvil,Referido,12,No,2
20,2185,2024-01-04 13:21:00,Deportes,Pesas,149.88,4,599.52,Criptomoneda,"Ciudad 1, País 9",PC,Referido,9,No,4
21,7546,2024-02-25 00:04:00,Belleza,Perfume,85.14,4,340.56,Transferencia bancaria,"Ciudad 21, País 9",Móvil,Pago,3,Sí,5
22,6352,2024-01-02 16:47:00,Belleza,Maquillaje,473.58,1,473.58,PayPal,"Ciudad 1, País 10",Móvil,Referido,26,Sí,3
23,6373,2024-01-18 01:37:00,Juguetes,Carro de juguete,386.0,5,1930.0,Transferencia bancaria,"Ciudad 20, País 7",PC,Pago,5,Sí,3
24,3660,2024-02-03 04:16:00,Hogar,Sofá,498.35,4,1993.4,Criptomoneda,"Ciudad 48, País 10",PC,Redes Sociales,15,Sí,5
25,4875,2024-01-14 16:20:00,Electrónica,Monitor,435.34,3,1306.02,Transferencia bancaria,"Ciudad 17, País 9",PC,Referido,14,Sí,1
26,2028,2024-02-29 11:55:00,Belleza,Shampoo,6.33,5,31.65,Transferencia bancaria,"Ciudad 43, País 6",Móvil,Orgánico,16,Sí,4
27,8714,2024-01-09 02:44:00,Belleza,Crema,475.47,1,475.47,Tarjeta de crédito,"Ciudad 15, País 3",Tablet,Orgánico,25,No,1
28,5215,2024-02-27 09:33:00,Electrónica,Auriculares,319.62,1,319.62,Transferencia bancaria,"Ciudad 31, País 5",Móvil,Redes Sociales,27,No,3
29,4502,2024-02-16 09:38:00,Hogar,Mesa,368.54,5,1842.7,Tarjeta de crédito,"Ciudad 5, País 8",PC,Referido,6,Sí,4
30,7347,2024-01-15 15:48:00,Deportes,Bicicleta,24.52,4,98.08,Criptomoneda,"Ciudad 32, País 7",PC,Orgánico,6,No,5
31,5369,2024-02-02 12:44:00,Electrónica,Monitor,488.29,3,1464.87,Criptomoneda,"Ciudad 9, País 5",Tablet,Orgánico,12,No,4
32,1628,2024-02-02 05:44:00,Hogar,Lámpara,360.79,3,1082.37,PayPal,"Ciudad 20, País 2",Tablet,Referido,28,Sí,5
33,4978,2024-01-04 07:00:00,Hogar,Cafetera,413.84,4,1655.36,PayPal,"Ciudad 25, País 3",Tablet,Orgánico,25,No,2
34,7218,2024-02-21 23:10:00,Hogar,Lámpara,156.43,4,625.72,Tarjeta de crédito,"Ciudad 10, País 6",Móvil,Pago,30,No,1
35,9958,2024-02-08 08:24:00,Juguetes,Muñeca,61.45,1,61.45,Criptomoneda,"Ciudad 45, País 1",PC,Redes Sociales,1,Sí,2
36,8317,2024-01-07 10:31:00,Ropa,Camisa,438.38,3,1315.14,PayPal,"Ciudad 24, País 1",PC,Referido,13,No,4
37,4509,2024-01-25 13:15:00,Belleza,Afeitadora,324.9,1,324.9,Tarjeta de crédito,"Ciudad 21, País 5",Móvil,Pago,11,Sí,5
38,2496,2024-01-16 18:22:00,Hogar,Lámpara,305.41,2,610.82,PayPal,"Ciudad 3, País 7",PC,Orgánico,6,No,1
39,8862,2024-01-17 03:00:00,Electrónica,Laptop,358.47,5,1792.35,PayPal,"Ciudad 1, País 8",Móvil,Referido,1,Sí,2
40,4399,2024-02-21 00:33:00,Belleza,Maquillaje,439.67,5,2198.35,Tarjeta de crédito,"Ciudad 17, País 7",Tablet,Referido,5,Sí,4
41,9131,2024-01-02 03:51:00,Hogar,Lámpara,236.36,4,945.44,Criptomoneda,"Ciudad 10, País 4",PC,Pago,4,Sí,5
42,6506,2024-02-10 09:38:00,Electrónica,Laptop,188.84,5,944.2,Criptomoneda,"Ciudad 33, País 5",Tablet,Orgánico,23,Sí,2
43,1840,2024-02-29 09:37:00,Deportes,Raqueta,207.29,5,1036.45,Criptomoneda,"Ciudad 36, País 1",PC,Referido,10,No,3
44,6293,2024-01-01 21:27:00,Belleza,Afeitadora,312.75,1,312.75,Transferencia bancaria,"Ciudad 23, País 10",Tablet,Pago,16,Sí,1
45,5250,2024-01-19 10:45:00,Hogar,Silla,40.85,1,40.85,PayPal,"Ciudad 8, País 8",Móvil,Orgánico,18,Sí,4
46,8820,2024-02-23 16:45:00,Electrónica,Smartphone,267.97,1,267.97,Criptomoneda,"Ciudad 22, País 5",PC,Orgánico,3,No,1
47,8808,2024-02-01 14:07:00,Belleza,Crema,334.21,1,334.21,Transferencia bancaria,"Ciudad 35, País 3",Tablet,Orgánico,13,No,5
48,2919,2024-01-22 17:00:00,Hogar,Cafetera,429.44,1,429.44,Transferencia bancaria,"Ciudad 15, País 1",PC,Referido,23,Sí,3
49,1447,2024-02-14 02:05:00,Belleza,Maquillaje,344.31,3,1032.93,Transferencia bancaria,"Ciudad 25, País 6",PC,Pago,22,Sí,2
50,2831,2024-02-22 01:50:00,Deportes,Balón,181.11,1,181.11,Transferencia bancaria,"Ciudad 23, País 2",PC,Referido,18,Sí,3
51,5963,2024-01-07 17:22:00,Hogar,Cafetera,154.49,5,772.45,Criptomoneda,"Ciudad 23, País 4",Móvil,Referido,3,Sí,2
52,7614,2024-02-04 21:42:00,Electrónica,Laptop,120.71,2,241.42,PayPal,"Ciudad 30, País 6",Móvil,Redes Sociales,6,No,4
53,4051,2024-02-01 13:10:00,Belleza,Shampoo,144.55,1,144.55,PayPal,"Ciudad 3, País 4",Tablet,Referido,9,Sí,3
54,4278,2024-01-12 11:39:00,Belleza,Shampoo,153.23,5,766.15,Transferencia bancaria,"Ciudad 22, País 9",Tablet,Pago,17,No,5
55,3588,2024-02-12 22:25:00,Ropa,Pantalón,472.11,3,1416.33,Criptomoneda,"Ciudad 27, País 8",PC,Orgánico,14,Sí,4
56,3328,2024-01-05 03:56:00,Belleza,Shampoo,466.07,2,932.14,Tarjeta de crédito,"Ciudad 22, País 3",Móvil,Redes Sociales,21,Sí,5
57,4166,2024-02-01 03:32:00,Hogar,Silla,42.01,3,126.03,Criptomoneda,"Ciudad 12, País 4",Móvil,Redes Sociales,23,Sí,5
58,9485,2024-02-07 11:08:00,Hogar,Sofá,132.02,2,264.04,PayPal,"Ciudad 39, País 9",Tablet,Pago,30,Sí,4
59,1934,2024-02-10 04:39:00,Belleza,Afeitadora,173.46,4,693.84,PayPal,"Ciudad 21, País 7",PC,Pago,7,Sí,1
60,5290,2024-02-19 08:02:00,Deportes,Pesas,105.78,5,528.9,Transferencia bancaria,"Ciudad 29, País 10",Móvil,Referido,8,No,5
61,3841,2024-02-14 06:05:00,Juguetes,Carro de juguete,332.8,4,1331.2,PayPal,"Ciudad 9, País 6",Móvil,Redes Sociales,17,No,3
62,9744,2024-01-21 07:05:00,Hogar,Sofá,391.22,3,1173.66,PayPal,"Ciudad 41, País 3",PC,Referido,16,No,1
63,2211,2024-02-22 12:05:00,Juguetes,Peluche,365.49,3,1096.47,Tarjeta de crédito,"Ciudad 2, País 9",PC,Referido,1,Sí,1
64,8014,2024-02-11 02:43:00,Belleza,Maquillaje,260.98,4,1043.92,Criptomoneda,"Ciudad 26, País 9",Móvil,Referido,19,Sí,4
65,1553,2024-01-21 09:18:00,Juguetes,Muñeca,207.66,1,207.66,Transferencia bancaria,"Ciudad 28, País 1",PC,Redes Sociales,11,Sí,1
66,2630,2024-01-30 01:48:00,Electrónica,Teclado,468.5,3,1405.5,Criptomoneda,"Ciudad 31, País 2",Tablet,Referido,19,Sí,5
67,1670,2024-02-08 14:21:00,Hogar,Cafetera,194.21,1,194.21,Criptomoneda,"Ciudad 32, País 2",PC,Pago,13,Sí,2
68,3398,2024-01-08 03:41:00,Belleza,Crema,226.75,4,907.0,PayPal,"Ciudad 13, País 8",Tablet,Referido,2,No,4
69,4124,2024-01-22 16:03:00,Deportes,Raqueta,359.58,4,1438.32,Tarjeta de crédito,"Ciudad 13, País 8",PC,Orgánico,19,Sí,5
70,5246,2024-01-10 16:40:00,Electrónica,Smartphone,481.98,2,963.96,Transferencia bancaria,"Ciudad 24, País 8",PC,Pago,15,Sí,2
71,8557,2024-01-01 23:24:00,Deportes,Casco,281.01,2,562.02,Transferencia bancaria,"Ciudad 44, País 9",Móvil,Referido,1,No,4
72,4192,2024-01-14 07:10:00,Ropa,Zapatos,226.65,2,453.3,Transferencia bancaria,"Ciudad 11, País 5",PC,Referido,18,Sí,4
73,6571,2024-02-14 11:59:00,Deportes,Bicicleta,5.34,3,16.02,Transferencia bancaria,"Ciudad 43, País 2",PC,Redes Sociales,18,Sí,3
74,6494,2024-02-25 22:55:00,Belleza,Shampoo,221.83,3,665.49,Criptomoneda,"Ciudad 41, País 7",Móvil,Orgánico,23,No,4
75,3498,2024-01-01 00:04:00,Ropa,Zapatos,370.02,1,370.02,Tarjeta de crédito,"Ciudad 21, País 1",PC,Redes Sociales,6,No,5
76,9239,2024-01-06 11:39:00,Deportes,Raqueta,237.08,4,948.32,Criptomoneda,"Ciudad 44, País 6",Tablet,Orgánico,28,Sí,2
77,1745,2024-01-25 10:37:00,Juguetes,Peluche,220.3,3,660.9,Transferencia bancaria,"Ciudad 10, País 10",Móvil,Pago,18,No,4
78,3775,2024-01-04 07:29:00,Hogar,Mesa,444.47,4,1777.88,PayPal,"Ciudad 45, País 1",Móvil,Pago,7,Sí,1
79,1058,2024-02-22 05:51:00,Belleza,Maquillaje,185.92,5,929.6,Criptomoneda,"Ciudad 48, País 6",PC,Referido,5,No,5
80,5511,2024-01-18 02:40:00,Electrónica,Teclado,87.4,4,349.6,Transferencia bancaria,"Ciudad 22, País 7",Móvil,Pago,3,No,5
81,2403,2024-01-30 11:08:00,Electrónica,Smartphone,34.8,3,104.4,Transferencia bancaria,"Ciudad 43, País 8",Móvil,Referido,9,No,3
82,1544,2024-02-06 13:02:00,Juguetes,Carro de juguete,212.98,2,425.96,Transferencia bancaria,"Ciudad 15, País 3",Tablet,Referido,12,No,5
83,6713,2024-03-01 02:54:00,Juguetes,LEGO,48.97,1,48.97,Transferencia bancaria,"Ciudad 50, País 4",PC,Redes Sociales,9,Sí,3
84,2597,2024-01-31 15:15:00,Ropa,Camisa,175.38,5,876.9,Tarjeta de crédito,"Ciudad 39, País 2",Móvil,Referido,18,Sí,2
85,9447,2024-02-10 12:39:00,Juguetes,LEGO,215.13,1,215.13,Criptomoneda,"Ciudad 42, País 3",PC,Redes Sociales,19,Sí,2
86,5331,2024-02-02 21:31:00,Ropa,Zapatos,332.9,3,998.7,Transferencia bancaria,"Ciudad 36, País 2",PC,Referido,2,No,1
87,7672,2024-01-02 15:53:00,Deportes,Raqueta,261.79,3,785.37,Transferencia bancaria,"Ciudad 4, País 5",Tablet,Pago,18,No,5
88,9311,2024-02-19 16:09:00,Hogar,Silla,41.81,3,125.43,Tarjeta de crédito,"Ciudad 4, País 7",Tablet,Orgánico,2,Sí,3
89,3910,2024-01-18 04:37:00,Juguetes,Rompecabezas,49.91,2,99.82,PayPal,"Ciudad 7, País 3",Tablet,Orgánico,9,Sí,2
90,9823,2024-02-15 03:00:00,Electrónica,Monitor,38.95,1,38.95,Criptomoneda,"Ciudad 39, País 9",Tablet,Pago,16,Sí,2
91,6002,2024-02-06 21:20:00,Deportes,Casco,357.12,5,1785.6,Transferencia bancaria,"Ciudad 40, País 4",PC,Referido,7,No,4
92,8278,2024-01-06 04:41:00,Electrónica,Auriculares,294.0,1,294.0,Criptomoneda,"Ciudad 38, País 3",PC,Pago,24,Sí,4
93,9908,2024-02-26 06:49:00,Deportes,Raqueta,213.81,2,427.62,Transferencia bancaria,"Ciudad 40, País 5",Móvil,Redes Sociales,4,No,5
94,3530,2024-02-21 15:52:00,Deportes,Bicicleta,10.0,4,40.0,Transferencia bancaria,"Ciudad 28, País 10",Móvil,Pago,18,No,5
95,9518,2024-02-12 17:48:00,Hogar,Silla,238.31,4,953.24,PayPal,"Ciudad 37, País 5",PC,Redes Sociales,28,Sí,5
96,2734,2024-02-26 08:47:00,Deportes,Bicicleta,474.37,5,2371.85,Tarjeta de crédito,"Ciudad 11, País 10",PC,Referido,10,No,2
97,7593,2024-02-10 16:09:00,Electrónica,Monitor,105.26,2,210.52,Criptomoneda,"Ciudad 33, País 5",PC,Orgánico,21,Sí,2
98,8495,2024-03-01 14:56:00,Ropa,Gorra,124.6,3,373.8,Criptomoneda,"Ciudad 43, País 8",Tablet,Orgánico,14,No,1
99,3312,2024-02-16 12:57:00,Ropa,Camisa,62.94,5,314.7,Tarjeta de crédito,"Ciudad 20, País 8",PC,Redes Sociales,5,Sí,3
100,9246,2024-01-03 10:31:00,Belleza,Shampoo,145.17,5,725.85,PayPal,"Ciudad 20, País 2",Móvil,Orgánico,18,No,3
101,8515,2024-02-21 17:42:00,Ropa,Pantalón,323.23,5,1616.15,Transferencia bancaria,"Ciudad 8, País 10",Móvil,Referido,30,No,1
102,6811,2024-01-07 13:52:00,Ropa,Chaqueta,88.0,4,352.0,PayPal,"Ciudad 43, País 6",Móvil,Referido,5,No,5
103,1370,2024-01-20 22:00:00,Deportes,Raqueta,208.11,3,624.33,PayPal,"Ciudad 24, País 3",Móvil,Orgánico,11,No,5
104,1588,2024-01-22 10:31:00,Juguetes,Rompecabezas,115.01,4,460.04,Transferencia bancaria,"Ciudad 50, País 4",Móvil,Redes Sociales,26,No,5
105,5336,2024-01-29 19:01:00,Belleza,Maquillaje,40.5,4,162.0,Tarjeta de crédito,"Ciudad 26, País 4",PC,Orgánico,14,No,4
106,7245,2024-01-18 11:03:00,Belleza,Crema,64.95,3,194.85,Transferencia bancaria,"Ciudad 47, País 4",Móvil,Redes Sociales,13,No,3
107,9472,2024-02-04 16:15:00,Hogar,Lámpara,461.36,5,2306.8,Criptomoneda,"Ciudad 45, País 8",Tablet,Referido,25,Sí,5
108,2708,2024-01-03 10:55:00,Ropa,Pantalón,230.62,1,230.62,Tarjeta de crédito,"Ciudad 50, País 4",PC,Referido,4,No,5
109,1596,2024-02-05 03:13:00,Electrónica,Auriculares,230.66,2,461.32,PayPal,"Ciudad 25, País 4",Tablet,Redes Sociales,23,No,2
110,5161,2024-01-29 12:58:00,Deportes,Bicicleta,241.57,1,241.57,Criptomoneda,"Ciudad 28, País 9",Tablet,Pago,24,No,3
111,8175,2024-01-26 23:19:00,Deportes,Casco,319.91,1,319.91,Tarjeta de crédito,"Ciudad 38, País 6",PC,Orgánico,12,Sí,3
112,5382,2024-02-06 12:40:00,Deportes,Raqueta,241.96,1,241.96,Tarjeta de crédito,"Ciudad 11, País 10",PC,Referido,21,Sí,2
113,9523,2024-02-15 23:23:00,Ropa,Gorra,466.96,5,2334.8,PayPal,"Ciudad 15, País 2",PC,Orgánico,23,Sí,4
114,5645,2024-02-08 21:04:00,Hogar,Mesa,312.8,2,625.6,Tarjeta de crédito,"Ciudad 23, País 6",Tablet,Redes Sociales,23,Sí,4
115,9202,2024-02-06 20:11:00,Belleza,Crema,184.17,3,552.51,PayPal,"Ciudad 5, País 6",Tablet,Orgánico,4,Sí,3
116,7515,2024-02-07 15:12:00,Ropa,Gorra,203.8,2,407.6,Tarjeta de crédito,"Ciudad 15, País 3",Móvil,Referido,18,Sí,5
117,1887,2024-02-29 14:27:00,Hogar,Silla,395.8,2,791.6,Transferencia bancaria,"Ciudad 37, País 1",Móvil,Referido,13,Sí,2
118,6733,2024-01-19 00:12:00,Hogar,Silla,149.19,4,596.76,Criptomoneda,"Ciudad 26, País 6",Tablet,Pago,2,Sí,3
119,4850,2024-01-07 06:58:00,Electrónica,Smartphone,192.13,4,768.52,Criptomoneda,"Ciudad 44, País 3",PC,Redes Sociales,16,No,2
120,2917,2024-01-01 20:16:00,Belleza,Maquillaje,146.35,4,585.4,Tarjeta de crédito,"Ciudad 9, País 9",Móvil,Referido,16,No,3
121,3331,2024-03-01 22:31:00,Hogar,Silla,360.38,1,360.38,Tarjeta de crédito,"Ciudad 15, País 1",PC,Redes Sociales,21,Sí,2
122,6986,2024-02-07 02:54:00,Hogar,Sofá,379.96,2,759.92,PayPal,"Ciudad 33, País 6",Móvil,Redes Sociales,14,Sí,5
123,8029,2024-02-29 00:35:00,Electrónica,Laptop,305.29,5,1526.45,Transferencia bancaria,"Ciudad 21, País 4",PC,Referido,19,No,1
124,9310,2024-02-23 16:18:00,Deportes,Balón,156.65,5,783.25,PayPal,"Ciudad 28, País 1",Tablet,Orgánico,7,Sí,5
125,9250,2024-02-07 21:14:00,Electrónica,Teclado,32.14,5,160.7,PayPal,"Ciudad 8, País 3",Tablet,Pago,18,Sí,1
126,3691,2024-02-02 17:23:00,Ropa,Chaqueta,32.95,3,98.85,PayPal,"Ciudad 33, País 1",Tablet,Pago,3,Sí,1
127,4840,2024-02-17 19:10:00,Ropa,Gorra,132.26,4,529.04,PayPal,"Ciudad 16, País 4",Móvil,Redes Sociales,12,No,5
128,8931,2024-02-07 13:00:00,Ropa,Chaqueta,170.24,3,510.72,Criptomoneda,"Ciudad 36, País 3",Tablet,Redes Sociales,5,No,2
129,8681,2024-01-05 03:32:00,Hogar,Sofá,447.81,3,1343.43,PayPal,"Ciudad 44, País 8",Tablet,Redes Sociales,13,No,3
130,8190,2024-01-31 19:38:00,Hogar,Silla,404.18,3,1212.54,Criptomoneda,"Ciudad 5, País 4",Móvil,Redes Sociales,9,Sí,5
131,8232,2024-02-17 12:42:00,Ropa,Gorra,396.93,3,1190.79,PayPal,"Ciudad 40, País 1",Tablet,Referido,5,No,2
132,6370,2024-02-06 15:17:00,Hogar,Sofá,473.78,1,473.78,Criptomoneda,"Ciudad 14, País 4",PC,Pago,30,Sí,4
133,3420,2024-02-28 06:00:00,Electrónica,Teclado,145.58,3,436.74,Transferencia bancaria,"Ciudad 6, País 7",Tablet,Redes Sociales,21,No,1
134,5755,2024-02-16 13:20:00,Juguetes,Rompecabezas,299.67,2,599.34,Criptomoneda,"Ciudad 16, País 2",Móvil,Orgánico,9,Sí,1
135,5755,2024-01-25 07:44:00,Juguetes,Muñeca,345.06,1,345.06,Transferencia bancaria,"Ciudad 6, País 7",Tablet,Referido,29,Sí,5
136,6430,2024-01-04 13:58:00,Belleza,Maquillaje,356.21,5,1781.05,Tarjeta de crédito,"Ciudad 7, País 7",PC,Orgánico,5,No,4
137,1093,2024-02-23 04:06:00,Juguetes,Peluche,442.58,2,885.16,Criptomoneda,"Ciudad 32, País 8",PC,Pago,14,Sí,4
138,6870,2024-01-01 13:09:00,Belleza,Perfume,370.46,5,1852.3,Transferencia bancaria,"Ciudad 41, País 5",PC,Pago,4,No,5
139,9345,2024-03-01 15:02:00,Juguetes,Peluche,255.0,3,765.0,Tarjeta de crédito,"Ciudad 41, País 8",PC,Referido,9,No,3
140,2119,2024-01-23 20:55:00,Electrónica,Smartphone,473.74,3,1421.22,Criptomoneda,"Ciudad 49, País 6",Móvil,Orgánico,7,Sí,5
141,8341,2024-01-01 17:15:00,Belleza,Shampoo,224.26,1,224.26,PayPal,"Ciudad 42, País 10",PC,Pago,8,Sí,3
142,4577,2024-01-09 18:12:00,Deportes,Raqueta,460.43,2,920.86,Tarjeta de crédito,"Ciudad 50, País 1",Móvil,Orgánico,22,No,3
143,6363,2024-01-01 10:42:00,Deportes,Balón,96.69,5,483.45,Transferencia bancaria,"Ciudad 24, País 8",Móvil,Pago,3,No,1
144,7563,2024-01-04 07:55:00,Hogar,Mesa,440.09,2,880.18,PayPal,"Ciudad 26, País 2",PC,Pago,9,Sí,2
145,1030,2024-01-31 21:00:00,Hogar,Sofá,468.92,1,468.92,Criptomoneda,"Ciudad 36, País 6",Tablet,Referido,18,Sí,2
146,6654,2024-02-28 03:43:00,Electrónica,Teclado,395.15,4,1580.6,Criptomoneda,"Ciudad 49, País 2",PC,Pago,6,No,2
147,3902,2024-02-02 17:09:00,Juguetes,Carro de juguete,12.87,4,51.48,Tarjeta de crédito,"Ciudad 32, País 6",Móvil,Orgánico,7,Sí,1
148,9949,2024-02-17 22:33:00,Belleza,Maquillaje,192.36,4,769.44,Criptomoneda,"Ciudad 17, País 9",Tablet,Referido,16,Sí,5
149,7783,2024-01-16 17:46:00,Ropa,Zapatos,461.57,5,2307.85,Transferencia bancaria,"Ciudad 13, País 7",Móvil,Orgánico,6,Sí,4
150,1917,2024-02-19 08:40:00,Hogar,Mesa,73.11,2,146.22,PayPal,"Ciudad 8, País 4",Tablet,Pago,2,No,4
151,3608,2024-01-05 02:35:00,Deportes,Balón,11.37,1,11.37,Criptomoneda,"Ciudad 45, País 1",Tablet,Orgánico,3,Sí,5
152,5079,2024-02-01 21:29:00,Ropa,Gorra,380.65,5,1903.25,PayPal,"Ciudad 45, País 1",PC,Redes Sociales,30,No,4
153,1188,2024-01-27 16:08:00,Hogar,Silla,193.63,4,774.52,Transferencia bancaria,"Ciudad 15, País 1",Móvil,Pago,13,Sí,2
154,1252,2024-02-23 14:14:00,Belleza,Afeitadora,205.98,3,617.94,Transferencia bancaria,"Ciudad 49, País 7",PC,Pago,11,No,2
155,3436,2024-01-10 12:41:00,Ropa,Zapatos,80.01,3,240.03,Criptomoneda,"Ciudad 37, País 6",PC,Referido,22,Sí,2
156,3194,2024-01-19 21:36:00,Belleza,Crema,80.4,1,80.4,Tarjeta de crédito,"Ciudad 26, País 7",Móvil,Pago,22,Sí,4
157,5878,2024-01-22 09:03:00,Juguetes,Carro de juguete,75.82,1,75.82,PayPal,"Ciudad 16, País 5",Tablet,Referido,17,No,5
158,1108,2024-01-16 00:22:00,Belleza,Afeitadora,142.7,5,713.5,Transferencia bancaria,"Ciudad 32, País 5",Tablet,Redes Sociales,24,Sí,3
159,1228,2024-01-11 03:13:00,Juguetes,Carro de juguete,315.66,1,315.66,Transferencia bancaria,"Ciudad 18, País 2",Tablet,Redes Sociales,19,Sí,2
160,3692,2024-01-22 16:48:00,Deportes,Casco,97.53,1,97.53,Criptomoneda,"Ciudad 15, País 5",PC,Redes Sociales,18,Sí,4
161,6818,2024-02-01 19:43:00,Juguetes,Rompecabezas,71.66,5,358.3,Criptomoneda,"Ciudad 43, País 4",PC,Referido,25,No,1
162,9581,2024-01-17 23:08:00,Ropa,Chaqueta,164.75,4,659.0,Criptomoneda,"Ciudad 9, País 7",Tablet,Referido,27,No,5
163,3314,2024-02-10 16:46:00,Deportes,Balón,126.62,1,126.62,Criptomoneda,"Ciudad 16, País 5",Móvil,Orgánico,30,No,5
164,6562,2024-03-01 19:51:00,Juguetes,Carro de juguete,103.06,5,515.3,Transferencia bancaria,"Ciudad 22, País 8",PC,Redes Sociales,13,No,2
165,6845,2024-02-21 12:41:00,Deportes,Raqueta,345.08,5,1725.4,PayPal,"Ciudad 30, País 7",Tablet,Redes Sociales,17,No,3
166,3077,2024-02-21 01:07:00,Hogar,Silla,345.75,1,345.75,Criptomoneda,"Ciudad 32, País 8",Tablet,Pago,11,Sí,5
167,6939,2024-01-30 07:13:00,Belleza,Afeitadora,466.89,2,933.78,Transferencia bancaria,"Ciudad 7, País 10",PC,Redes Sociales,27,No,3
168,4781,2024-01-31 17:38:00,Belleza,Perfume,171.78,3,515.34,Transferencia bancaria,"Ciudad 4, País 7",Tablet,Pago,1,Sí,4
169,5894,2024-01-15 07:35:00,Juguetes,Rompecabezas,324.8,2,649.6,Tarjeta de crédito,"Ciudad 11, País 2",PC,Pago,23,No,4
170,8535,2024-02-12 23:29:00,Ropa,Camisa,23.19,2,46.38,PayPal,"Ciudad 25, País 4",Móvil,Pago,8,Sí,4
171,9626,2024-02-15 04:08:00,Belleza,Crema,337.58,3,1012.74,Transferencia bancaria,"Ciudad 46, País 1",Móvil,Pago,20,No,1
172,2245,2024-01-22 03:29:00,Deportes,Bicicleta,222.16,4,888.64,PayPal,"Ciudad 39, País 1",PC,Redes Sociales,6,No,1
173,8713,2024-01-14 22:37:00,Deportes,Pesas,201.71,4,806.84,Transferencia bancaria,"Ciudad 41, País 4",Móvil,Orgánico,22,No,5
174,9456,2024-03-01 04:55:00,Belleza,Crema,297.08,2,594.16,PayPal,"Ciudad 28, País 3",PC,Orgánico,3,No,4
175,5085,2024-01-13 15:57:00,Hogar,Silla,265.63,3,796.89,Transferencia bancaria,"Ciudad 39, País 9",Tablet,Pago,12,Sí,1
176,9934,2024-01-16 08:58:00,Juguetes,Peluche,274.26,3,822.78,Tarjeta de crédito,"Ciudad 19, País 3",Tablet,Orgánico,2,Sí,4
177,7396,2024-02-03 03:16:00,Ropa,Pantalón,120.76,1,120.76,Tarjeta de crédito,"Ciudad 34, País 5",PC,Redes Sociales,22,No,1
178,5459,2024-02-05 15:48:00,Ropa,Zapatos,288.73,1,288.73,Transferencia bancaria,"Ciudad 46, País 3",PC,Orgánico,16,Sí,3
